model,date,n_universe,pool_up_count,pool_down_count,sel_up_count,sel_down_count,up_dir_acc_5d,sel_up_avg_ret_5d,down_dir_acc_5d,sel_down_avg_ret_5d,smcr_up_1pct_pool,smcr_up_1pct_sel,smcr_down_1pct_pool,smcr_down_1pct_sel,n_strong_up_1pct,n_strong_down_1pct,smcr_up_2pct_pool,smcr_up_2pct_sel,smcr_down_2pct_pool,smcr_down_2pct_sel,n_strong_up_2pct,n_strong_down_2pct,smcr_up_3pct_pool,smcr_up_3pct_sel,smcr_down_3pct_pool,smcr_down_3pct_sel,n_strong_up_3pct,n_strong_down_3pct,top1_up_capture,top3_up_capture,top5_up_capture,top1_down_capture,top3_down_capture,top5_down_capture,pool_precision_up,pool_precision_down,sel_precision_up,sel_precision_down,sel_lift_up,sel_up_avg_mfe,sel_up_avg_mae,sel_up_avg_ret_1d,sel_up_avg_ret_3d,regime,n_iios_signals
MODEL_C,2021-11-16,203,20,20,6,6,0.5,0.4417666666666668,0.3333333333333333,2.2094,0.23333333333333334,0.1,0.06666666666666667,0.013333333333333334,30,150,0.3157894736842105,0.10526315789473684,0.07575757575757576,0.015151515151515152,19,132,0.38461538461538464,0.15384615384615385,0.08333333333333333,0.009259259259259259,13,108,0,1,2,0,0,0,0.3,0.5,0.3333333333333333,0.3333333333333333,3.56140350877193,6.718216666666667,-4.815716666666666,2.758566666666667,-2.2632,SIDEWAYS,18
MODEL_A,2021-11-17,203,17,0,6,0,0.6666666666666666,0.118533333333333,,,0.20512820512820512,0.10256410256410256,0.0,0.0,39,135,0.2413793103448276,0.10344827586206896,0.0,0.0,29,109,0.22727272727272727,0.09090909090909091,0.0,0.0,22,83,0,0,0,0,0,0,0.4117647058823529,0.0,0.5,0.0,3.5,4.468833333333333,-9.59485,-3.1278166666666665,-4.17115,SIDEWAYS,17
MODEL_B,2021-11-17,203,20,20,6,6,0.6666666666666666,-0.15843333333333334,0.5,-1.3676166666666667,0.23076923076923078,0.07692307692307693,0.08888888888888889,0.022222222222222223,39,135,0.2413793103448276,0.06896551724137931,0.10091743119266056,0.027522935779816515,29,109,0.22727272727272727,0.09090909090909091,0.10843373493975904,0.03614457831325301,22,83,0,0,0,0,0,0,0.35,0.55,0.3333333333333333,0.5,2.3333333333333335,4.000616666666667,-8.577516666666666,-2.86805,-4.0074499999999995,SIDEWAYS,17
MODEL_C,2021-11-17,203,20,20,6,6,0.6666666666666666,0.11164999999999974,0.3333333333333333,0.16389999999999963,0.23076923076923078,0.10256410256410256,0.07407407407407407,0.014814814814814815,39,135,0.2413793103448276,0.10344827586206896,0.08256880733944955,0.01834862385321101,29,109,0.22727272727272727,0.09090909090909091,0.10843373493975904,0.024096385542168676,22,83,0,0,0,0,0,0,0.35,0.45,0.5,0.3333333333333333,3.5,4.4482333333333335,-9.546916666666666,-3.02415,-4.044266666666666,SIDEWAYS,17
MODEL_A,2021-11-18,204,14,0,6,0,0.6666666666666666,1.4432166666666666,,,0.13513513513513514,0.08108108108108109,0.0,0.0,37,143,0.12903225806451613,0.06451612903225806,0.0,0.0,31,129,0.15,0.1,0.0,0.0,20,117,0,1,1,0,0,0,0.2857142857142857,0.0,0.3333333333333333,0.0,2.1935483870967745,7.295266666666666,-6.3130999999999995,-2.8623,1.7414333333333334,SIDEWAYS,14
MODEL_B,2021-11-18,204,20,20,6,6,0.5,0.3580666666666667,0.5,1.761866666666667,0.16216216216216217,0.05405405405405406,0.08391608391608392,0.02097902097902098,37,143,0.16129032258064516,0.03225806451612903,0.09302325581395349,0.023255813953488372,31,129,0.1,0.05,0.10256410256410256,0.02564102564102564,20,117,0,1,1,0,0,0,0.25,0.6,0.16666666666666666,0.5,1.0967741935483872,5.315766666666666,-4.66575,-1.194016666666667,0.10461666666666658,SIDEWAYS,14
MODEL_C,2021-11-18,204,20,20,6,6,0.6666666666666666,1.3079333333333334,0.3333333333333333,0.7299333333333333,0.1891891891891892,0.08108108108108109,0.06993006993006994,0.013986013986013986,37,143,0.1935483870967742,0.06451612903225806,0.06976744186046512,0.015503875968992248,31,129,0.15,0.1,0.07692307692307693,0.017094017094017096,20,117,0,1,1,0,0,0,0.3,0.45,0.3333333333333333,0.3333333333333333,2.1935483870967745,6.767483333333332,-4.982,-2.052166666666667,1.5871333333333333,SIDEWAYS,14
MODEL_A,2021-11-22,204,9,0,6,0,0.3333333333333333,0.7929666666666665,,,0.025,0.025,0.0,0.0,40,135,0.029411764705882353,0.029411764705882353,0.0,0.0,34,111,0.034482758620689655,0.034482758620689655,0.0,0.0,29,89,0,1,1,0,0,0,0.1111111111111111,0.0,0.16666666666666666,0.0,1.0,7.400216666666666,-5.066199999999999,2.6594,4.741383333333333,SIDEWAYS,9
MODEL_B,2021-11-22,204,20,20,6,6,0.5,-0.2629833333333332,0.3333333333333333,2.0499333333333336,0.125,0.05,0.07407407407407407,0.007407407407407408,40,135,0.11764705882352941,0.058823529411764705,0.08108108108108109,0.009009009009009009,34,111,0.13793103448275862,0.06896551724137931,0.06741573033707865,0.0,29,89,0,0,0,0,0,0,0.2,0.45,0.3333333333333333,0.16666666666666666,2.0,6.904866666666667,-3.9787500000000002,1.826083333333333,3.56935,SIDEWAYS,9
MODEL_C,2021-11-22,204,20,20,6,6,0.16666666666666666,-2.363183333333333,0.6666666666666666,0.7929666666666666,0.125,0.0,0.06666666666666667,0.014814814814814815,40,135,0.11764705882352941,0.0,0.08108108108108109,0.018018018018018018,34,111,0.13793103448275862,0.0,0.06741573033707865,0.02247191011235955,29,89,0,0,0,0,0,0,0.2,0.45,0.0,0.3333333333333333,0.0,4.479516666666667,-5.634650000000001,2.0644833333333334,1.9054833333333334,SIDEWAYS,9
