date,direction,regime,top5_n,top5_dir_acc,top5_ge1,top5_ge2,top5_ge3,top5_avg_ret,rem15_n,rem15_dir_acc,rem15_ge2,rem15_avg_ret,top5_better,c2_rank1_symbol,c2_rank1_ret
2026-06-25,DOWN,RANGE,5,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,False,PARAS.NS,0.0
2026-06-29,UP,RANGE,5,1.0,0.0,0.0,0.0,0.4466,15,0.5333,0.1333,0.2278,True,SUNDRMFAST.NS,0.576
2026-06-29,DOWN,RANGE,5,0.8,0.6,0.2,0.0,-0.9379,15,0.4667,0.0667,0.7896,True,NATIONALUM.NS,-2.2453
2026-06-30,UP,RANGE,5,0.4,0.4,0.4,0.4,1.0795,15,0.4667,0.1333,0.3918,False,CENTUM.NS,-1.7759
2026-06-30,DOWN,RANGE,5,0.8,0.8,0.6,0.4,-4.9461,15,0.5333,0.0667,-0.2484,True,KPITTECH.NS,-16.9757
2026-07-01,UP,RANGE,5,0.8,0.6,0.2,0.2,1.0697,15,0.6667,0.2667,2.1268,True,IDEAFORGE.NS,-1.0918
2026-07-01,DOWN,RANGE,5,0.4,0.2,0.0,0.0,0.7146,15,0.0667,0.0,2.1413,True,RAJESHEXPO.NS,4.9931
2026-07-02,UP,RANGE,5,0.6,0.4,0.4,0.4,2.0758,15,0.4667,0.1333,0.1171,True,ONMOBILE.NS,3.0252
2026-07-02,DOWN,RANGE,5,0.4,0.4,0.0,0.0,0.837,15,0.4,0.0,1.2141,False,STLTECH.NS,2.524
2026-07-03,UP,RANGE,5,0.6,0.6,0.6,0.0,1.1745,15,0.2667,0.0,-1.3447,True,GODREJPROP.NS,2.5045
2026-07-03,DOWN,RANGE,5,0.4,0.0,0.0,0.0,1.5922,15,0.6667,0.0,0.0094,False,STLTECH.NS,1.4476
2026-07-06,UP,RANGE,5,0.4,0.4,0.2,0.2,0.6335,15,0.4,0.0,-0.9452,False,ADANIENSOL.NS,1.7377
2026-07-06,DOWN,RANGE,5,0.6,0.4,0.4,0.2,-0.6589,15,0.5333,0.1333,-0.4082,True,STLTECH.NS,-4.9987
2026-07-07,UP,BULL,5,0.2,0.2,0.0,0.0,-1.0471,15,0.0667,0.0,-2.6533,True,NAUKRI.NS,1.6861
2026-07-07,DOWN,BULL,5,1.0,1.0,1.0,0.4,-3.224,15,0.9333,0.3333,-1.1306,True,STLTECH.NS,-4.9919
2026-07-08,UP,RANGE,5,1.0,0.8,0.6,0.4,2.578,15,0.6,0.2,1.6743,True,JINDALPOLY.NS,4.9958
2026-07-08,DOWN,RANGE,5,0.0,0.0,0.0,0.0,2.4494,15,0.2,0.0,0.8365,False,STLTECH.NS,4.9607
2026-07-09,UP,RANGE,5,1.0,1.0,0.4,0.4,3.2079,15,0.9333,0.3333,1.6757,True,HFCL.NS,1.1971
2026-07-09,DOWN,RANGE,5,0.4,0.4,0.2,0.2,0.3359,15,0.0667,0.0,2.7438,True,DRREDDY.NS,-1.985
2026-07-10,UP,RANGE,5,0.6,0.2,0.0,0.0,-0.4599,15,0.7333,0.3333,1.7363,False,JINDALPOLY.NS,-4.274
2026-07-10,DOWN,RANGE,5,0.4,0.2,0.0,0.0,0.1492,15,0.6,0.0667,0.2018,False,SHRIRAMFIN.NS,0.3831
2026-07-13,UP,RANGE,5,0.4,0.2,0.2,0.2,-0.1354,15,0.2,0.0667,-1.3112,True,IDEAFORGE.NS,-0.4738
