date,symbol,direction,actual_move,v3_score,c2_score,c2_rank,selected_top5,regime,miss_type,miss_reason
2026-05-21,AMBER.NS,DOWN,-2.3617,0.8349,-0.1061,8,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-25,MAPMYINDIA.NS,DOWN,-2.6734,0.7637,-0.2252,15,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-26,AJANTPHARM.NS,DOWN,-2.4636,0.6958,-0.0969,10,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-26,COFORGE.NS,DOWN,-2.4178,0.6872,-0.1546,11,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-29,SUDARSCHEM.NS,DOWN,-3.3475,0.8802,-0.7996,16,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-05-29,CROMPTON.NS,DOWN,-2.7565,0.7001,-0.2312,7,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-02,TATACHEM.NS,DOWN,-2.4861,0.7013,-0.0,10,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-04,NATCOPHARM.NS,DOWN,-2.7539,0.7942,-0.5769,14,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-04,BSE.NS,DOWN,-3.8032,0.7367,-0.4859,10,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-04,VEDL.NS,DOWN,-3.6336,0.707,-0.6412,17,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-05,JPPOWER.NS,DOWN,-2.7325,0.8617,1.2086,11,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-05,MOTHERSON.NS,DOWN,-3.1694,0.7842,1.0867,12,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-05,VEDL.NS,DOWN,-3.5963,0.765,1.4575,9,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-05,M&MFIN.NS,DOWN,-3.1396,0.7095,0.9833,14,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-05,SOBHA.NS,DOWN,-3.7167,0.6968,1.0204,13,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-09,NATIONALUM.NS,DOWN,-2.0188,0.8627,0.2084,6,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-10,INFY.NS,DOWN,-2.6805,0.786,1.3621,6,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-06-10,ZENSARTECH.NS,DOWN,-3.1602,0.7802,0.0547,17,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-10,KALYANKJIL.NS,DOWN,-2.3324,0.7379,0.2067,16,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-12,NMDC.NS,DOWN,-2.7054,0.7545,-1.1327,7,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-15,SOLARINDS.NS,DOWN,-2.1879,0.7078,-0.5962,13,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-18,MRPL.NS,DOWN,-3.0678,0.7354,0.1697,9,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-19,JINDALPOLY.NS,DOWN,-2.5186,0.7797,-0.4659,15,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-22,IDEA.NS,DOWN,-2.4966,0.8163,-0.135,10,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-22,JINDALPOLY.NS,DOWN,-4.5326,0.7911,0.0896,8,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-22,BSE.NS,DOWN,-2.2541,0.7417,-0.4587,17,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-22,ASHOKLEY.NS,DOWN,-3.6453,0.7319,0.0573,9,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-24,RATEGAIN.NS,DOWN,-2.2379,0.8375,-0.3197,10,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-24,DATAPATTNS.NS,DOWN,-2.4567,0.8226,-0.0022,7,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-24,PARAS.NS,DOWN,-4.2454,0.8002,-0.5006,14,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-06-29,RATNAMANI.NS,DOWN,-2.3422,0.7913,-0.0,7,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-06-30,GNFC.NS,DOWN,-2.3555,0.7931,-0.1012,7,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-06,FINEORG.NS,DOWN,-2.6764,0.8465,-0.0,10,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-07-06,KEI.NS,DOWN,-2.7614,0.7671,-0.0476,16,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-07,FINEORG.NS,DOWN,-2.44,0.8346,0.77,8,False,BULL,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-07,ZYDUSWELL.NS,DOWN,-2.7698,0.7854,-0.0,19,False,BULL,RANKING_MISS,LOW_C2_SCORE
2026-07-07,VBL.NS,DOWN,-2.0031,0.7319,0.3511,12,False,BULL,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-07,POLICYBZR.NS,DOWN,-2.8296,0.7295,0.9142,6,False,BULL,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-07,TEJASNET.NS,DOWN,-2.1117,0.7181,0.905,7,False,BULL,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-10,PARAS.NS,DOWN,-2.2823,0.6926,0.399,15,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-13,CHOLAFIN.NS,DOWN,-2.1757,0.7342,1.0326,7,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-13,APOLLOTYRE.NS,DOWN,-3.3477,0.733,1.2143,6,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-13,M&MFIN.NS,DOWN,-2.2843,0.6929,0.6763,12,False,RANGE,RANKING_MISS,OUTRANKED_BY_STRONGER_OPENERS
2026-07-16,ALKYLAMINE.NS,DOWN,-3.2926,0.8333,-0.3494,19,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-16,BSE.NS,DOWN,-2.8005,0.6904,-0.0,12,False,RANGE,RANKING_MISS,LOW_C2_SCORE
2026-07-20,ZENSARTECH.NS,DOWN,-2.3653,0.8678,-0.3135,16,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-21,MAPMYINDIA.NS,DOWN,-2.4153,0.9146,-0.0701,12,False,RANGE,RANKING_MISS,ADVERSE_OPEN_GAP
2026-07-21,SUDARSCHEM.NS,DOWN,-2.2947,0.8672,-0.0,8,False,RANGE,RANKING_MISS,LOW_C2_SCORE
