date,close,high,low,open,volume,vix,atr,ema_fast,ema_slow,trend_strength,ret_1d,ret_5d,ret_10d,ret_21d,abs_move_5d,abs_move_10d,regime,vix_bucket,direction
2026-01-05,26250.30078125,26373.19921875,26210.05078125,26333.69921875,338800,10.020000457763672,,26076.292057538216,26020.861179709278,,-0.27276473171363724,-1.7525543234102825,-3.87729188222099,-2.3142591967324155,1.7525543234102825,3.87729188222099,RANGING,LOW,NEUTRAL
2026-01-06,26178.69921875,26273.94921875,26124.75,26189.69921875,383000,10.020000457763672,,26086.045120510767,26027.050906730485,,-0.1449622016468255,-1.7051971672460975,-3.9008783829052374,-1.8526512564559616,1.7051971672460975,3.9008783829052374,RANGING,LOW,NEUTRAL
2026-01-07,26140.75,26187.150390625,26067.900390625,26143.099609375,338200,9.949999809265137,,26091.25510903355,26031.50969470184,,-1.0095364158449915,-1.8176616609125618,-3.254878338896172,-1.0460649321461735,1.8176616609125618,3.254878338896172,RANGING,LOW,NEUTRAL
2026-01-08,25876.849609375,26133.19921875,25858.44921875,26106.5,328500,10.600000381469727,160.33551897321428,26070.835537637497,26025.444593316475,,-0.7479613285493514,-0.705263595665373,-3.200541144892499,0.2253009239149284,0.705263595665373,3.200541144892499,RANGING,LOW,NEUTRAL
2026-01-09,25683.30078125,25940.599609375,25623.0,25840.400390625,348800,10.930000305175781,174.95689174107142,26033.92746560059,26012.027188921715,0.4637,0.41641539637333747,-0.3807952181964058,-1.9775510747270908,1.053403650992224,0.3807952181964058,1.9775510747270908,RANGING,LOW,NEUTRAL
2026-01-12,25790.25,25813.150390625,25473.400390625,25669.05078125,275800,11.369999885559082,183.91768973214286,26010.720087924346,26003.330044258117,0.447,-0.2246942885392733,-2.162638981785747,-1.735151850020844,0.06571948216864687,2.162638981785747,1.735151850020844,RANGING,LOW,NEUTRAL
2026-01-13,25732.30078125,25899.80078125,25603.30078125,25897.349609375,339500,11.199999809265137,196.91768973214286,25984.20396347917,25992.701445708783,0.4381,-0.259211846006413,-2.233771422681463,-1.2179260350219434,-1.0150711904678422,2.233771422681463,1.2179260350219434,RANGING,LOW,NEUTRAL
2026-01-14,25665.599609375,25791.75,25603.94921875,25648.55078125,393100,11.319999694824219,202.23200334821428,25953.860691659724,25979.873922715302,0.4338,0.11201764399650926,-1.4638240464593166,-1.3440138707065286,0.06682248178895289,1.4638240464593166,1.3440138707065286,RANGING,LOW,NEUTRAL
2026-01-16,25694.349609375,25873.5,25662.400390625,25696.05078125,434000,11.369999885559082,207.62486049107142,25929.14535048975,25968.676890819606,0.4515,-0.4236324757381116,-2.5130008292344796,-2.3582975555408114,0.12084672981436118,2.5130008292344796,2.3582975555408114,RANGING,LOW,NEUTRAL
2026-01-19,25585.5,25653.30078125,25494.349609375,25653.099609375,443100,11.829999923706055,208.58914620535714,25896.41722187168,25953.650346081584,0.4503,-1.3796877137441155,-1.6028594687420572,0.5552003331965372,0.9139927278145832,1.6028594687420572,0.5552003331965372,RANGING,LOW,NEUTRAL
2026-01-20,25232.5,25585.0,25171.349609375,25580.30078125,409800,12.729999542236328,231.11774553571428,25833.187010264854,25925.369940352895,0.4183,-0.29723570791637677,0.4369364906370743,2.153968096700676,0.8792216759140103,0.4369364906370743,2.153968096700676,RANGING,LOW,NEUTRAL
2026-01-21,25157.5,25300.94921875,24919.80078125,25141.0,395600,13.779999732971191,240.5498046875,25768.835866430105,25895.25739367239,0.3741,0.526285960946038,1.0390555127695489,1.9290501093113477,1.6446387757130143,1.0390555127695489,1.9290501093113477,RANGING,LOW,NEUTRAL
2026-01-22,25289.900390625,25435.75,25168.5,25344.150390625,486400,13.350000381469727,254.4140625,25723.222963972476,25871.517903356806,0.3964,-0.9539381186706164,0.12159003999636653,1.596680184136634,1.6729983228081169,0.12159003999636653,1.596680184136634,RANGING,LOW,BEAR
2026-01-23,25048.650390625,25347.94921875,25025.30078125,25344.599609375,393900,14.1899995803833,261.6318359375,25658.977956987,25839.24858913203,0.3334,0.5060152863462841,0.15869118447546793,3.2682415134485554,1.5010788770509098,0.15869118447546793,3.2682415134485554,RANGING,MEDIUM,BEAR
2026-01-27,25175.400390625,25246.650390625,24932.55078125,25063.349609375,618700,14.449999809265137,272.4140625,25612.92295066681,25813.21532644548,0.3719,0.6647346488174222,2.193213939233374,3.0178268794601726,1.2198400208536908,2.193213939233374,3.0178268794601726,RANGING,MEDIUM,BEAR
2026-01-28,25342.75,25372.099609375,25187.650390625,25258.849609375,574900,13.529999732971191,275.80691964285717,25587.192193460443,25794.765705800557,0.4094,0.30048195489833507,1.7095619062651002,2.4113389800830554,0.6068827623284756,1.7095619062651002,2.4113389800830554,RANGING,LOW,BEAR
2026-01-29,25418.900390625,25458.150390625,25159.80078125,25345.0,582400,13.369999885559082,288.59974888392856,25571.16440271421,25780.025889519166,0.4238,-0.3865234077404689,0.8808421575450254,1.5275988424275466,-0.9451628367394216,0.8808421575450254,1.5275988424275466,RANGING,LOW,BEAR
2026-01-30,25320.650390625,25370.69921875,25213.650390625,25247.55078125,508400,13.630000114440918,283.0961216517857,25547.305925372384,25762.011164072337,0.4371,-0.917235522852089,1.4732987595892144,0.5941759647915879,-1.7967594230653972,1.4732987595892144,0.5941759647915879,RANGING,LOW,BEAR
2026-02-02,25088.400390625,25108.099609375,24679.400390625,24796.5,449200,13.869999885559082,306.21400669642856,25503.600636348823,25735.595055309695,0.4337,2.547593233021894,3.1046235650641796,2.369021540317484,-2.4230336775562633,3.1046235650641796,2.369021540317484,RANGING,LOW,BEAR
2026-02-03,25727.55078125,26341.19921875,25641.30078125,26308.05078125,637300,12.899999618530273,371.43178013392856,25524.929221577506,25735.279593581865,0.4965,0.18831648283172964,0.806915555779586,-0.008358318455126135,-3.7378233116766135,0.806915555779586,0.008358318455126135,RANGING,LOW,BEAR
2026-02-04,25776.0,25818.55078125,25563.94921875,25675.05078125,429800,12.25,368.4390345982143,25548.840724284408,25736.876472264932,0.5043,-0.516756745616076,0.6899814143971117,0.16817818658829697,-5.1425775188159495,0.6899814143971117,0.16817818658829697,RANGING,LOW,BEAR
2026-02-05,25642.80078125,25757.650390625,25579.5,25755.900390625,343800,12.170000076293945,369.06040736607144,25557.789301138273,25733.187229480034,0.4994,0.19849016468285186,0.6411095219372775,-0.7349086922392445,-6.2970890495733345,0.6411095219372775,0.7349086922392445,RANGING,LOW,BEAR
2026-02-06,25693.69921875,25703.94921875,25491.900390625,25605.80078125,375500,11.9399995803833,369.12820870535717,25570.733102815582,25731.638680039643,0.5011,0.6756581098813275,-0.8663587421952723,-0.4765729438470423,-5.573738515355253,0.8663587421952723,0.4765729438470423,RANGING,LOW,BEAR
2026-02-09,25867.30078125,25922.25,25780.900390625,25888.69921875,359400,12.1899995803833,371.1675502232143,25598.97764361886,25736.95876244005,0.5214,0.26229876069705504,-0.7134520250515308,-0.5965090155902408,-7.733513398989944,0.7134520250515308,0.5965090155902408,RANGING,LOW,BEAR
2026-02-10,25935.150390625,25989.44921875,25870.44921875,25922.650390625,460900,11.670000076293945,350.31026785714283,25630.994095714683,25744.730983153182,0.5574,0.07209990483325601,-0.808747961129308,-1.9683710806031596,-8.852850149000702,0.808747961129308,1.9683710806031596,RANGING,LOW,NEUTRAL
