model,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav,avg_mfe,avg_mae,avg_ret,fp_rate,lift,vs_A_dir_delta,vs_A_ge2_delta
C_Strat_Top5,DOWN,VAL,265,0.5698,0.4075,0.3019,0.2189,2.6092,2.534,1.1074,0.7052,0.2528,1.5726,0.0,0.0
A_KN_Top6,DOWN,VAL,318,0.5535,0.4025,0.2925,0.2107,2.5937,2.4413,1.1169,0.6764,0.2484,1.4473,-0.0163,-0.0094
B1_Strict_Top6,DOWN,VAL,318,0.5535,0.4025,0.2925,0.2107,2.5937,2.4413,1.1169,0.6764,0.2484,1.4473,-0.0163,-0.0094
B2_Backfill_Top6,DOWN,VAL,318,0.5535,0.4025,0.2925,0.2107,2.5937,2.4413,1.1169,0.6764,0.2484,1.4473,-0.0163,-0.0094
C_Strat_Top6,DOWN,VAL,318,0.5535,0.4025,0.2925,0.2107,2.5937,2.4413,1.1169,0.6764,0.2484,1.4473,-0.0163,-0.0094
V3_20,DOWN,OOS,1060,0.4877,0.2726,0.1283,0.0594,1.529,1.4028,1.6166,-0.1095,0.2858,1.0,-0.1161,-0.1132
A_KN_Top5,DOWN,OOS,265,0.6038,0.3849,0.2415,0.1509,2.127,2.3533,0.7672,0.7303,0.2038,1.746,0.0,0.0
B1_Strict_Top5,DOWN,OOS,265,0.6038,0.3849,0.2415,0.1509,2.127,2.3533,0.7672,0.7303,0.2038,1.746,0.0,0.0
B2_Backfill_Top5,DOWN,OOS,265,0.6038,0.3849,0.2415,0.1509,2.127,2.3533,0.7672,0.7303,0.2038,1.746,0.0,0.0
C_Strat_Top5,DOWN,OOS,265,0.6038,0.3849,0.2415,0.1509,2.127,2.3533,0.7672,0.7303,0.2038,1.746,0.0,0.0
A_KN_Top6,DOWN,OOS,318,0.5849,0.3679,0.217,0.1289,2.0057,2.1848,0.8674,0.5864,0.2201,1.5731,-0.0189,-0.0245
B1_Strict_Top6,DOWN,OOS,318,0.5849,0.3679,0.217,0.1289,2.0057,2.1848,0.8674,0.5864,0.2201,1.5731,-0.0189,-0.0245
B2_Backfill_Top6,DOWN,OOS,318,0.5849,0.3679,0.217,0.1289,2.0057,2.1848,0.8674,0.5864,0.2201,1.5731,-0.0189,-0.0245
C_Strat_Top6,DOWN,OOS,318,0.5849,0.3679,0.217,0.1289,2.0057,2.1848,0.8674,0.5864,0.2201,1.5731,-0.0189,-0.0245
V3_20,DOWN,FULL,4258,0.5124,0.2919,0.148,0.0749,1.6185,1.4997,1.5985,0.0072,0.2729,1.0,-0.0876,-0.0914
A_KN_Top5,DOWN,FULL,1065,0.6,0.3822,0.2394,0.1343,2.0399,2.2061,0.9464,0.6627,0.2009,1.5659,0.0,0.0
B1_Strict_Top5,DOWN,FULL,1065,0.6,0.3822,0.2394,0.1343,2.0399,2.2061,0.9464,0.6627,0.2009,1.5659,0.0,0.0
B2_Backfill_Top5,DOWN,FULL,1065,0.6,0.3822,0.2394,0.1343,2.0399,2.2061,0.9464,0.6627,0.2009,1.5659,0.0,0.0
C_Strat_Top5,DOWN,FULL,1065,0.6,0.3822,0.2394,0.1343,2.0399,2.2061,0.9464,0.6627,0.2009,1.5659,0.0,0.0
A_KN_Top6,DOWN,FULL,1278,0.5892,0.3693,0.223,0.1244,1.9661,2.1012,0.9858,0.593,0.205,1.4426,-0.0108,-0.0164
B1_Strict_Top6,DOWN,FULL,1278,0.5892,0.3693,0.223,0.1244,1.9661,2.1012,0.9858,0.593,0.205,1.4426,-0.0108,-0.0164
B2_Backfill_Top6,DOWN,FULL,1278,0.5892,0.3693,0.223,0.1244,1.9661,2.1012,0.9858,0.593,0.205,1.4426,-0.0108,-0.0164
C_Strat_Top6,DOWN,FULL,1278,0.5892,0.3693,0.223,0.1244,1.9661,2.1012,0.9858,0.593,0.205,1.4426,-0.0108,-0.0164
