split,trading_date,symbol,direction,regime,reject_reason,C2_score,gap_pct,t1_ret_pct,dir_adj_ret,mfe_pct,mae_pct,outcome,rejection_class
VAL,2026-03-18,PNBHOUSING.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-1.1886336903361605,-1.1886336903361605,-2.4268,-2.4268,-1.1205348851606511,3.175880641366924,BAD,CORRECT_REJECTION
VAL,2026-03-19,JPPOWER.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.49253731343284,1.49253731343284,-2.3284,-2.3284,3.164179104477616,4.298507462686563,BAD,CORRECT_REJECTION
VAL,2026-03-19,OLECTRA.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.864308553157489,0.864308553157489,9.6523,9.6523,12.899680255795376,-0.5245803357314172,STRONG,FALSE_REJECTION
VAL,2026-03-19,KPITTECH.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.8363939899832984,1.8363939899832984,0.3111,0.3111,3.156776445591136,0.1365912885111564,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-03-19,LTTS.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,1.499924551078924,1.499924551078924,-2.5472,-2.5472,1.5331220763543207,3.0934057642975743,BAD,CORRECT_REJECTION
VAL,2026-03-19,PNBHOUSING.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.8819237358035803,0.8819237358035803,0.4885,0.4885,2.87418311020875,-0.1268955015544692,NEUTRAL,NEUTRAL_REJECTION
VAL,2026-03-20,ALKYLAMINE.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.1547987616099089,-0.1547987616099089,-4.0712,-4.0712,-0.1547987616099089,4.411764705882348,BAD,CORRECT_REJECTION
VAL,2026-03-20,MIDHANI.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.7294640025372723,-0.7294640025372723,-6.803,-6.803,-0.7294640025372723,7.389787503964484,BAD,CORRECT_REJECTION
VAL,2026-03-20,GODREJAGRO.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,0.0,0.0,-6.1172,-6.1172,0.0849617672047609,7.357689039932024,BAD,CORRECT_REJECTION
VAL,2026-03-20,PNBHOUSING.NS,UP,BEAR,D2_BEAR_EQUITY_BUY,-0.7450435661068289,-0.7450435661068289,-5.1964,-5.1964,-0.4988003535799867,6.926379593383003,BAD,CORRECT_REJECTION
