track,model,timing,direction,split,n,dir_acc,ge1_rate,ge2_rate,ge3_rate,avg_fav_ret,avg_mfe,avg_mae,fp_rate,conc_lift,top1_cap,spearman_dir,spearman_abs
D1_Gap,D1_Top6,POST_OPEN,DOWN,TRAIN,642,0.5966,0.338,0.1822,0.0732,1.6296,1.813,1.1641,0.204,1.29,0.4673,0.2377,0.1135
D1_Gap,D1_Low_Top5,POST_OPEN,DOWN,TRAIN,535,0.4953,0.2467,0.1084,0.0542,1.3974,1.2793,1.8684,0.2729,0.869,0.1963,0.0862,-0.0486
D1_Gap,D1_GAP_UP,POST_OPEN,DOWN,TRAIN,733,0.3915,0.1787,0.0641,0.0286,1.195,0.8281,2.3167,0.3615,,,-0.163,0.1187
D1_Gap,D1_NO_GAP,POST_OPEN,DOWN,TRAIN,1077,0.5942,0.2953,0.1263,0.0492,1.3302,1.4564,1.1944,0.1783,,,-0.0718,-0.0401
D1_Gap,D1_GAP_DOWN,POST_OPEN,DOWN,TRAIN,330,0.6818,0.4606,0.2727,0.1182,1.9385,2.5714,0.6462,0.1636,,,-0.2309,-0.1932
D1_Gap,D1_Top5,POST_OPEN,DOWN,VAL,265,0.5396,0.4,0.3019,0.2038,2.6222,2.2653,1.5523,0.283,1.3337,0.3962,0.5168,0.0091
D1_Gap,D1_Top6,POST_OPEN,DOWN,VAL,318,0.5314,0.3931,0.2799,0.1887,2.5076,2.1523,1.5685,0.2893,1.2282,0.3962,0.5419,0.0463
D1_Gap,D1_Low_Top5,POST_OPEN,DOWN,VAL,265,0.4302,0.3094,0.1849,0.117,2.123,1.4209,2.2546,0.3774,0.8336,0.2642,0.4819,0.1833
D1_Gap,D1_GAP_UP,POST_OPEN,DOWN,VAL,422,0.2488,0.1209,0.0403,0.0166,1.2281,0.3944,3.1304,0.5687,,,-0.3653,0.3359
D1_Gap,D1_NO_GAP,POST_OPEN,DOWN,VAL,319,0.5141,0.3386,0.1661,0.0878,1.7588,1.684,1.5648,0.232,,,-0.1304,-0.0794
D1_Gap,D1_GAP_DOWN,POST_OPEN,DOWN,VAL,319,0.7649,0.6082,0.4734,0.3386,2.8413,3.6808,0.2452,0.1066,,,-0.2417,-0.2599
D1_Gap,D1_Top5,POST_OPEN,DOWN,OOS,270,0.537,0.3519,0.2185,0.1296,2.0846,2.1397,1.2114,0.2556,1.5737,0.6038,0.3141,0.0897
D1_Gap,D1_Top6,POST_OPEN,DOWN,OOS,324,0.5216,0.3333,0.2037,0.1204,2.0002,2.0319,1.2919,0.2562,1.4168,0.6415,0.3442,0.1009
D1_Gap,D1_Low_Top5,POST_OPEN,DOWN,OOS,270,0.4,0.2185,0.1,0.037,1.3798,1.042,2.3011,0.3815,0.7111,0.1698,0.1776,-0.0846
D1_Gap,D1_GAP_UP,POST_OPEN,DOWN,OOS,393,0.3613,0.1552,0.0611,0.028,1.1825,0.6303,2.5873,0.4071,,,-0.3224,0.2682
D1_Gap,D1_NO_GAP,POST_OPEN,DOWN,OOS,432,0.4722,0.2523,0.0903,0.0255,1.2386,1.2324,1.3681,0.2269,,,-0.0983,-0.0121
D1_Gap,D1_GAP_DOWN,POST_OPEN,DOWN,OOS,255,0.6706,0.4667,0.2863,0.1608,2.1632,2.8687,0.5221,0.1765,,,-0.3617,-0.3469
F1_InvKn,F1_High_Top5,PRE_MARKET,UP,TRAIN,535,0.4355,0.2561,0.1421,0.0804,1.8179,1.674,1.7324,0.3458,1.0356,0.271,0.03,0.0462
F1_InvKn,F1_High_Top6,PRE_MARKET,UP,TRAIN,642,0.4283,0.2477,0.1324,0.0732,1.7656,1.6442,1.709,0.3458,0.9994,0.2991,0.0344,0.0396
F1_InvKn,F1_Low_Top5,PRE_MARKET,UP,TRAIN,535,0.4393,0.2561,0.1364,0.0822,1.9493,1.7912,1.6948,0.3271,0.9423,0.2056,-0.0393,0.1022
F1_InvKn,F1_Low_Top6,PRE_MARKET,UP,TRAIN,642,0.4393,0.2523,0.1355,0.0888,1.9746,1.8055,1.6872,0.3349,0.9965,0.2897,-0.0333,0.1058
F1_InvKn,F1_Low_Top10,PRE_MARKET,UP,TRAIN,1070,0.4551,0.2551,0.1421,0.0897,1.8759,1.7465,1.6497,0.3234,1.0546,0.5327,0.0218,0.0606
F1_InvKn,F1_InvKn_Top5,PRE_MARKET,UP,TRAIN,535,0.4393,0.2561,0.1364,0.0822,1.9493,1.8013,1.7044,0.3271,0.9423,0.2056,0.0399,-0.1077
F1_InvKn,F1_InvKn_Top6,PRE_MARKET,UP,TRAIN,642,0.4393,0.2523,0.1355,0.0888,1.9746,1.814,1.6951,0.3349,0.9965,0.2897,0.034,-0.1125
F1_InvKn,F1_High_Top5,PRE_MARKET,UP,VAL,265,0.517,0.3472,0.1811,0.1472,2.4443,2.5999,1.8911,0.3245,1.1027,0.283,-0.0205,-0.1088
F1_InvKn,F1_High_Top6,PRE_MARKET,UP,VAL,318,0.5157,0.3428,0.195,0.1509,2.525,2.5829,1.8604,0.3302,1.1316,0.3774,0.0171,-0.1055
F1_InvKn,F1_Low_Top5,PRE_MARKET,UP,VAL,265,0.5094,0.3887,0.2528,0.166,2.6522,2.5464,2.0058,0.3132,0.9771,0.2642,0.0031,0.0387
F1_InvKn,F1_Low_Top6,PRE_MARKET,UP,VAL,318,0.5189,0.3994,0.2673,0.1824,2.6455,2.5725,1.9613,0.2956,0.9717,0.283,-0.0048,0.0273
F1_InvKn,F1_Low_Top10,PRE_MARKET,UP,VAL,530,0.5189,0.3925,0.2566,0.1736,2.6617,2.5735,1.9219,0.3189,1.0242,0.5472,-0.0149,0.0133
F1_InvKn,F1_InvKn_Top5,PRE_MARKET,UP,VAL,265,0.5094,0.3887,0.2528,0.166,2.6522,2.556,2.0134,0.3132,0.9771,0.2642,-0.0034,-0.0477
F1_InvKn,F1_InvKn_Top6,PRE_MARKET,UP,VAL,318,0.5189,0.3994,0.2673,0.1824,2.6455,2.5806,1.9675,0.2956,0.9717,0.283,0.0043,-0.0341
F1_InvKn,F1_High_Top5,PRE_MARKET,UP,OOS,270,0.4444,0.2556,0.1481,0.1111,2.0431,2.0092,1.5644,0.3222,0.8927,0.1698,-0.048,-0.0569
F1_InvKn,F1_High_Top6,PRE_MARKET,UP,OOS,324,0.4506,0.2593,0.1574,0.1173,2.0905,2.0194,1.5567,0.3272,0.9186,0.2075,0.0002,-0.0798
